gene	SRR2038194	SRR2038195	SRR2038196	SRR2038197
6430706D22Rik	0	0	0	0
A730008H23Rik	1	0	0	0
Trpm8	228	357	1	2
Spp2	135	205	0	1
Glrp1	20	12	4	1
Gm19589	17	26	8	10
Arl4c	1723	2160	2758	1454
2410088K16Rik	3	8	1	0
1700067G17Rik	14	16	38	19
Sh3bp4	2352	2545	6104	2653
C030007H22Rik	2	0	0	0
Agap1	1236	1797	1922	1142
4933400F21Rik	13	18	7	3
Gbx2	25	62	9	5
Asb18	16	28	0	0
Iqca	29	61	11	13
Cxcr7	192	151	25	21
Cops8	1289	1837	1614	954
Col6a3	1570	2359	90	29
Mlph	718	1643	142	172
Prlh	50	45	0	0
Rab17	194	280	85	45
Lrrfip1	3789	4516	7433	3452
Rbm44	111	147	50	28
Ramp1	168	170	55	15
Ube2f	1000	1341	1054	549
Scly	1870	2750	2248	1326
Espnl	1409	1799	1462	833
Klhl30	156	197	51	16
Fam132b	141	157	74	41
Ilkap	914	1395	1290	780
1700020N18Rik	19	16	12	10
Hes6	3062	5039	4068	3032
Per2	1161	948	1726	536
Traf3ip1	331	628	311	188
Asb1	532	772	708	385
Twist2	18	20	0	0
Hdac4	636	798	1020	446
Ndufa10	1519	2416	2190	1319
Olfr1416	0	1	0	0
Olfr1415	0	0	0	0
Olfr1414	4	10	1	0
Olfr1413	1	1	0	0
Olfr1412	1	3	0	0
Olfr1411	5	7	0	0
Olfr1410	8	30	0	0
Olfr12	8	7	1	2
Myeov2	1419	1722	2077	1099
Otos	76	125	109	77
Gpc1	6310	9443	12398	6804
Mir149	1	1	0	0
Ankmy1	113	182	24	15
Dusp28	99	158	107	87
Rnpepl1	2160	3869	2975	2014
9430060I03Rik	1	8	3	1
Capn10	623	976	723	465
Gpr35	106	177	138	104
Aqp12	48	82	1	0
Kif1a	736	1324	672	451
Agxt	193	214	5	4
2310007B03Rik	198	366	9	7
Sned1	233	446	78	51
Mterfd2	336	645	354	248
Pask	289	382	223	124
Ppp1r7	765	1111	1035	591
Ano7	238	356	40	30
Hdlbp	11208	14431	13726	7825
2-Sep	3702	5163	5699	3175
Farp2	496	818	1451	987
Stk25	2045	3275	3302	2204
Bok	1540	2006	3137	1871
Thap4	981	1401	1905	1100
Atg4b	1311	2141	1906	1392
Dtymk	1063	1535	1849	1166
Ing5	1036	1295	1839	1048
D2hgdh	344	629	539	403
Gal3st2	194	377	514	339
Gm9994	46	74	81	76
Gm6086	124	141	17	12
Neu4	26	31	0	0
Pdcd1	78	100	13	0
4930440C22Rik	1	0	1	0
Fam174a	362	589	606	332
St8sia4	26	20	20	3
4930598F16Rik	0	0	0	0
1700063A18Rik	0	0	0	0
4930533P14Rik	0	4	0	0
Slco4c1	71	90	90	66
Slco6b1	4	12	2	1
Slco6c1	5	8	1	0
D1Ertd622e	300	430	284	155
Ppip5k2	2406	3169	3962	2311
Gin1	131	209	174	129
Pam	6120	9640	11085	6840
B230216N24Rik	44	114	69	67
1810006J02Rik	193	358	813	657
Slco6d1	5	2	0	0
Cntnap5b	180	245	234	123
Gm20268	3	1	0	0
Cdh20	30	43	14	17
Rnf152	151	228	30	19
Pign	802	1173	1180	707
2310035C23Rik	1829	2676	2897	1583
Tnfrsf11a	6448	10689	13181	8001
Zcchc2	997	1514	932	558
LOC626049	4	10	7	2
Phlpp1	1489	1676	2676	1146
Bcl2	552	889	1675	950
Kdsr	424	625	496	314
Vps4b	2413	3024	3496	1773
Serpinb5	186	272	42	32
